#datatype,measurement,time,double
#group,false,false,false
#default,,,
,_measurement,UNIX,TA
,ExposedTemp,1692075960000000000,62.4
,ExposedTemp,1692076080000000000,62.1
,ExposedTemp,1692076200000000000,61.9
,ExposedTemp,1692076320000000000,61.9
,ExposedTemp,1692076440000000000,61.8
,ExposedTemp,1692076560000000000,61.7
,ExposedTemp,1692076680000000000,61.8
,ExposedTemp,1692076800000000000,61.7
,ExposedTemp,1692076920000000000,61.6
,ExposedTemp,1692077040000000000,61.7
,ExposedTemp,1692077160000000000,62.2
,ExposedTemp,1692077280000000000,62.5
,ExposedTemp,1692077400000000000,62.7
,ExposedTemp,1692077520000000000,62.7
,ExposedTemp,1692077640000000000,62.6
,ExposedTemp,1692077760000000000,62.2
,ExposedTemp,1692077880000000000,62
,ExposedTemp,1692078000000000000,62
,ExposedTemp,1692078120000000000,62
,ExposedTemp,1692078240000000000,62.1
,ExposedTemp,1692078360000000000,62.2
,ExposedTemp,1692078480000000000,62.2
,ExposedTemp,1692078600000000000,62.1
,ExposedTemp,1692078720000000000,62
,ExposedTemp,1692078840000000000,62
,ExposedTemp,1692078960000000000,62
,ExposedTemp,1692079080000000000,61.9
,ExposedTemp,1692079200000000000,61.9
,ExposedTemp,1692079320000000000,61.9
,ExposedTemp,1692079440000000000,61.9
,ExposedTemp,1692079560000000000,61.9
,ExposedTemp,1692079680000000000,61.9
,ExposedTemp,1692079800000000000,61.8
,ExposedTemp,1692079920000000000,62
,ExposedTemp,1692080040000000000,62.1
,ExposedTemp,1692080160000000000,62.1
,ExposedTemp,1692080280000000000,62.1
,ExposedTemp,1692080400000000000,61.9
,ExposedTemp,1692080520000000000,61.9
,ExposedTemp,1692080640000000000,61.9
,ExposedTemp,1692080760000000000,61.9
,ExposedTemp,1692080880000000000,61.9
,ExposedTemp,1692081000000000000,62
,ExposedTemp,1692081120000000000,62.2
,ExposedTemp,1692081240000000000,62.3
,ExposedTemp,1692081360000000000,62.4
,ExposedTemp,1692081480000000000,62.4
,ExposedTemp,1692081600000000000,62.6
,ExposedTemp,1692081720000000000,62.6
,ExposedTemp,1692081840000000000,62.7
,ExposedTemp,1692081960000000000,62.8
,ExposedTemp,1692082080000000000,62.9
,ExposedTemp,1692082200000000000,63.1
,ExposedTemp,1692082320000000000,63.2
,ExposedTemp,1692082440000000000,63.3
,ExposedTemp,1692082560000000000,63.3
,ExposedTemp,1692082680000000000,63.5
,ExposedTemp,1692082800000000000,63.6
,ExposedTemp,1692082920000000000,63.6
,ExposedTemp,1692083040000000000,63.6
