#datatype,measurement,time,double
#group,false,false,false
#default,,,
,_measurement,UNIX,TA
,ExposedTemp,1692137160000000000,64.5
,ExposedTemp,1692137280000000000,64.2
,ExposedTemp,1692137400000000000,64.4
,ExposedTemp,1692137520000000000,64.2
,ExposedTemp,1692137640000000000,64.2
,ExposedTemp,1692137760000000000,64.5
,ExposedTemp,1692137880000000000,64.3
,ExposedTemp,1692138000000000000,64.3
,ExposedTemp,1692138120000000000,64.2
,ExposedTemp,1692138240000000000,64.1
,ExposedTemp,1692138360000000000,64
,ExposedTemp,1692138480000000000,63.9
,ExposedTemp,1692138600000000000,63.8
,ExposedTemp,1692138720000000000,63.8
,ExposedTemp,1692138840000000000,63.6
,ExposedTemp,1692138960000000000,63.6
,ExposedTemp,1692139080000000000,63.5
,ExposedTemp,1692139200000000000,63.5
,ExposedTemp,1692139320000000000,63.4
,ExposedTemp,1692139440000000000,63.6
,ExposedTemp,1692139560000000000,63.6
,ExposedTemp,1692139680000000000,63.6
,ExposedTemp,1692139800000000000,63.6
,ExposedTemp,1692139920000000000,63.4
,ExposedTemp,1692140040000000000,63.3
,ExposedTemp,1692140160000000000,63.2
,ExposedTemp,1692140280000000000,63.1
,ExposedTemp,1692140400000000000,63.1
,ExposedTemp,1692140520000000000,63.1
,ExposedTemp,1692140640000000000,63.2
,ExposedTemp,1692140760000000000,63.2
,ExposedTemp,1692140880000000000,63.2
,ExposedTemp,1692141000000000000,63.2
,ExposedTemp,1692141120000000000,63.2
,ExposedTemp,1692141240000000000,63.2
,ExposedTemp,1692141360000000000,63.2
,ExposedTemp,1692141480000000000,63.2
,ExposedTemp,1692141600000000000,63.1
,ExposedTemp,1692141720000000000,62.9
,ExposedTemp,1692141840000000000,63
,ExposedTemp,1692141960000000000,63.1
,ExposedTemp,1692142080000000000,63.1
,ExposedTemp,1692142200000000000,63
,ExposedTemp,1692142320000000000,62.9
,ExposedTemp,1692142440000000000,62.8
,ExposedTemp,1692142560000000000,62.9
,ExposedTemp,1692142680000000000,62.8
,ExposedTemp,1692142800000000000,62.8
,ExposedTemp,1692142920000000000,62.6
,ExposedTemp,1692143040000000000,62.6
,ExposedTemp,1692143160000000000,62.8
,ExposedTemp,1692143280000000000,62.9
,ExposedTemp,1692143400000000000,62.9
,ExposedTemp,1692143520000000000,62.8
,ExposedTemp,1692143640000000000,62.7
,ExposedTemp,1692143760000000000,62.6
,ExposedTemp,1692143880000000000,62.5
